ID0001,Item1,270,2026-02-02
ID0002,Item2,160,2026-03-19
ID0003,Item3,782,2025-07-21
ID0004,Item4,949,2025-11-23
ID0005,Item5,326,2026-03-15
ID0006,Item6,298,2026-02-09
ID0007,Item7,95,2025-09-14
ID0008,Item8,182,2026-02-06
ID0009,Item9,340,2025-11-01
ID0010,Item10,669,2025-05-08
ID0011,Item11,895,2026-04-10
ID0012,Item12,660,2025-11-15
ID0013,Item13,348,2026-04-19
ID0014,Item14,864,2025-08-17
ID0015,Item15,734,2025-06-20
ID0016,Item16,359,2026-01-19
ID0017,Item17,651,2025-05-17
ID0018,Item18,957,2025-11-05
ID0019,Item19,818,2025-08-02
ID0020,Item20,148,2026-01-17
ID0021,Item21,763,2026-03-27
ID0022,Item22,984,2025-06-08
ID0023,Item23,481,2026-03-12
ID0024,Item24,701,2025-06-29
ID0025,Item25,583,2025-07-22
ID0026,Item26,420,2026-03-23
ID0027,Item27,42,2026-03-23
ID0028,Item28,801,2026-02-23
ID0029,Item29,753,2025-05-17
ID0030,Item30,201,2025-04-30
ID0031,Item31,639,2025-07-23
ID0032,Item32,130,2026-04-13
ID0033,Item33,696,2026-03-27
ID0034,Item34,461,2025-12-09
ID0035,Item35,902,2026-01-09
ID0036,Item36,222,2025-06-20
ID0037,Item37,790,2025-08-25
ID0038,Item38,453,2025-05-20
ID0039,Item39,183,2025-04-26
ID0040,Item40,161,2026-01-11
ID0041,Item41,823,2026-04-01
ID0042,Item42,46,2026-01-07
ID0043,Item43,183,2025-06-04
ID0044,Item44,697,2026-03-17
ID0045,Item45,496,2026-04-17
ID0046,Item46,51,2025-10-27
ID0047,Item47,941,2025-12-31
ID0048,Item48,965,2025-08-06
ID0049,Item49,964,2026-02-08
ID0050,Item50,500,2026-03-08
